run,group,backbone,label_set,loss_variant,strategy,epoch,split,loss,ce_img,ce_expr,align,acc_img,acc_expr,macro_f1_img,macro_f1_expr,embed512
resnet50_crop128_3class_infonce_l010_11032366_2,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.10,frozen/default,4,val,2.28148512840271,0.8510578351020813,0.9549762502670288,4.754510571289062,0.596,0.7488,0.5450768711018706,0.6736332889714468,False
resnet50_crop128_3class_infonce_l010_11032366_2,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.10,frozen/default,5,train,1.0489069460294185,0.5651309929597073,0.06048188091088564,4.232940621865102,0.7041266025641025,0.9768629807692307,,,False
resnet50_crop128_3class_infonce_l010_11032366_2,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.10,frozen/default,5,val,2.2801412078857424,0.7945491561889648,1.0144609504699706,4.71131081161499,0.6348,0.7396,0.5689804516842981,0.6668618776085129,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,1,train,2.3010774484047523,0.7474559514950483,0.5870796678922116,4.832708988434229,0.5583934294871795,0.6870993589743589,,,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,1,val,2.6338802680969238,0.9177468724250794,0.7687661282539368,4.736836245727539,0.5576,0.6956,0.5146373924195617,0.6285500903263487,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,2,train,1.7870838596270635,0.6097070448673688,0.2845218768104529,4.464274608171904,0.6698717948717948,0.8591746794871795,,,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,2,val,2.6762377628326415,0.964076340007782,0.7654842381477356,4.733385834503173,0.5316,0.744,0.48524043223852376,0.671230240175604,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,3,train,1.6176198079035833,0.5881885229012905,0.16919295757244796,4.301191592827822,0.6857972756410257,0.921073717948718,,,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,3,val,2.602578298187256,0.8226705852508545,0.8450445999145508,4.674315379333496,0.62,0.7504,0.5657871495098507,0.679950399584305,False
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,4,train,1.4982353418301313,0.5621318606994091,0.10913553490088536,4.134839681478647,0.7050280448717948,0.9540264423076923,,,False
